id	rate	bna
21195	63434	31019
21197	12447	6114
21199	63635	31151
21201	2208	1100
21203	16942	8313
21205	23608	11316
21207	17669	8644
21209	50178	24733
21211	44290	21324
21213	17704	8717
21215	17577	8801
21217	24993	12128
21219	12524	6255
21221	14250	6980
21223	8783	4363
21225	15138	7800
21227	118950	57981
21229	11910	5849
21231	20655	10244
21233	13357	6664
21235	35794	17493
21237	7261	3556
21239	25317	12254
22001	62163	30023
22003	25653	14784
22005	114738	56848
22007	23057	11206
22009	41389	20692
22011	36259	18513
22013	13977	6695
22015	123403	60921
22017	254742	121129
22019	195887	95567
22021	9990	5270
22023	6706	3272
22025	10247	5483
22027	16639	9524
22029	20449	10375
22031	26965	12944
22033	444690	213266
22035	7501	4272
22037	19855	10666
22039	33768	17197
22041	20550	9993
22043	22362	12523
22045	73938	36017
22047	33229	16949
22049	16109	8288
22051	435092	211216
22053	31434	15550
22055	231811	113159
22057	97474	47888
22059	14899	7702
22061	47349	23005
22063	133949	65803
22065	11873	5921
22067	27012	12904
22069	39330	18765
22071	376738	180183
22073	155769	74555
22075	23599	11676
22077	22498	10757
22079	132225	63862
22081	8838	4305
22083	20777	10062
22085	24248	12059
22087	42858	21298
22089	52639	25699
22091	10818	5254
22093	21650	10426
22095	44161	21467
22097	83613	40129
22099	53126	26136
22101	53441	26345
22103	242960	117970
22105	125486	60890
22107	4893	2362
22109	112742	55725
22111	22533	11112
22113	59110	28523
22115	52476	27435
22117	46556	22872
22119	40617	19722
22121	24669	12159
22123	11454	5764
22125	15415	10228
22127	14855	7851
23001	107393	52597
23003	70005	34592
23005	286119	139036
23007	30402	14937
23009	54658	26696
23011	121112	58759
23013	39723	19682
23015	34156	16673
23017	57421	28446
23019	153437	75714
23021	17156	8552
23023	35092	16894
23025	51577	25399
23027	38976	19155
23029	32191	15874
23031	199682	97075
24001	73549	38300
24003	555280	274800
24005	822959	389418
24009	90114	44495
24011	32661	15835
24013	167444	82754
24015	101960	50644
24017	152754	73731
24019	32534	15542
24021	241373	119038
24023	29813	14765
24025	248966	121798
24027	304115	149157
24029	19923	9382
24031	1017859	490093
24033	892816	429603
24035	48600	24024
24037	109614	54662
24039	25980	14150
24041	37799	17811
24043	149270	76058
24045	101182	48199
24047	51519	25018
24510	622454	293366
25001	214766	102244
25003	129288	62393
25005	552763	267650
25007	17048	8443
25009	763849	367791
25011	71144	34759
25013	468041	225611
25015	160759	75286
25017	1556116	758542
25019	10556	5589
25021	687721	329431
25023	503681	245337
25025	758919	366767
25027	810935	399807
26001	10550	5310
26003	9476	5218
26005	112837	56205
26007	29068	14276
26009	23267	11587
26011	15424	7813
26013	8690	5265
26015	59147	29733
26017	106698	52513
26019	17437	8708
26021	155565	76026
26023	43706	22539
26025	134790	65845
26027	51952	26159
26029	26134	12903
26031	25690	12791
26033	38586	21156
26035	30710	15163
26037	76905	37952
26039	13895	7024
26041	36712	18172
26043	26012	12886
26045	108341	52842
26047	33018	16303
26049	415874	200473
26051	25501	12818
26053	15824	8556
26055	89907	44272
26057	41878	22213
26059	46178	22972
26061	36660	19876
26063	32290	16041
26065	283491	137614
26067	64064	33917
26069	25401	12678
26071	11507	5687
26073	70669	34271
26075	159759	81765
26077	256752	125558
26079	17230	8770
26081	622590	305818
26083	2198	1145
26085	11426	5831
26087	88235	44477
26089	21772	10717
26091	98902	50231
26093	184591	92258
26095	6477	3788
26097	11044	5589
26099	854689	415691
26101	24536	12714
26103	67582	34150
26105	28711	14286
26107	43301	21784
26109	23717	11972
26111	83624	41115
26113	14988	7658
26115	150436	74065
26117	63004	32482
26119	9401	4798
26121	171483	85094
26123	48029	24156
