CensusId	State	County	TotalPop	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment
8009	Colorado	Baca	3701	1776	1925	86.5	1.1	1.2	0.1	0.1	1702	4.5
8011	Colorado	Bent	5895	4046	1849	55.8	9.2	2.4	0.7	0.0	1212	8.3
8013	Colorado	Boulder	310032	155795	154237	78.5	0.8	0.2	4.3	0.0	166701	6.1
8014	Colorado	Broomfield	60699	30075	30624	78.2	0.9	0.2	5.9	0.0	31807	5.5
8015	Colorado	Chaffee	18309	9798	8511	85.4	2.0	0.7	0.3	0.0	8170	5.9
8017	Colorado	Cheyenne	2002	1051	951	84.5	0.3	0.1	1.5	0.0	932	9.3
8019	Colorado	Clear Creek	9136	4724	4412	90.7	1.3	0.0	0.6	0.4	5114	5.4
8021	Colorado	Conejos	8249	4111	4138	43.3	0.1	1.6	0.2	0.2	3021	9.7
8023	Colorado	Costilla	3581	1866	1715	32.1	0.0	0.0	0.8	0.0	1240	14.0
8025	Colorado	Crowley	5551	3145	2406	61.1	5.3	0.9	0.4	0.5	1457	27.0
8027	Colorado	Custer	4303	2148	2155	91.6	3.0	1.3	0.0	0.1	1390	14.0
8029	Colorado	Delta	30214	15148	15066	82.1	1.0	0.5	0.6	0.0	11362	11.7
8031	Colorado	Denver	649654	324730	324924	53.1	9.4	0.6	3.5	0.1	348382	6.3
8033	Colorado	Dolores	1862	1017	845	90.7	0.0	1.2	0.0	0.2	801	4.6
8035	Colorado	Douglas	306974	152339	154635	84.0	1.0	0.2	4.1	0.0	159911	4.1
8037	Colorado	Eagle	52576	27887	24689	67.0	0.6	0.3	1.0	0.1	31793	4.4
8039	Colorado	Elbert	23855	11969	11886	89.9	0.5	0.4	0.5	0.0	12373	6.7
8041	Colorado	El Paso	655024	329550	325474	70.6	5.7	0.4	2.7	0.3	290448	8.4
8043	Colorado	Fremont	46809	27003	19806	78.0	5.1	1.3	0.7	0.1	13983	9.2
8045	Colorado	Garfield	57076	29186	27890	68.7	0.4	0.7	0.7	0.0	29078	6.9
8047	Colorado	Gilpin	5605	2878	2727	88.2	0.5	0.0	0.1	0.0	3159	4.9
8049	Colorado	Grand	14411	7689	6722	88.0	1.4	0.2	1.9	0.7	8274	5.7
8051	Colorado	Gunnison	15651	8427	7224	87.9	0.4	0.2	0.6	0.1	9016	7.8
8053	Colorado	Hinsdale	874	416	458	97.1	0.0	0.0	0.0	0.0	451	3.0
8055	Colorado	Huerfano	6502	3290	3212	64.2	0.3	0.1	0.2	0.0	2211	15.0
